"alpha1","alpha2","alpha3"
2.92246854535354,-2.36909421185738,2.91587450968565
2.9242213241623,-2.27484797949738,3.08205297110316
2.92580440720379,-2.17557050458495,3.23606797749979
2.92722249956642,-2.07165358995799,3.37731170200806
2.92847986195653,-1.96350734820343,3.50522672017545
2.92958030954301,-1.85155858313015,3.61930820986408
2.93052721094397,-1.73624910536936,3.71910594355301
2.93132348734868,-1.61803398874989,3.80422606518061
2.93197161176881,-1.49737977432971,3.87433264451452
2.93247360841374,-1.37476262917145,3.92914900291475
2.93283105218546,-1.25066646712861,3.96845880525791
2.93304506828944,-1.12558103905863,3.99210691371309
2.93311633195878,-1,4
2.93304506828944,-0.874418960941373,3.99210691371309
2.93283105218546,-0.749333532871391,3.96845880525791
2.93247360841374,-0.62523737082855,3.92914900291475
2.93197161176881,-0.50262022567029,3.87433264451452
2.93132348734868,-0.381966011250105,3.80422606518061
2.93052721094397,-0.263750894630643,3.71910594355301
2.92958030954301,-0.148441416869854,3.61930820986408
2.92847986195653,-0.03649265179657,3.50522672017545
2.92722249956642,0.0716535899579929,3.37731170200806
2.92580440720379,0.175570504584946,3.23606797749979
2.9242213241623,0.274847979497379,3.08205297110316
2.92246854535354,0.369094211857377,2.91587450968565
2.92319968455325,-2.80965410493204,1.70311716626029
2.92584658429756,-2.75261336008773,1.92701469640686
2.92830024307999,-2.68865585100403,2.14330717991599
2.93056803967145,-2.61803398874989,2.35114100916989
2.93265691549722,-2.54102648555158,2.54969595899476
2.93457337260902,-2.45793725484282,2.73818842371475
2.9363234718459,-2.36909421185738,2.91587450968565
2.93791283117263,-2.27484797949738,3.08205297110316
2.93934662418466,-2.17557050458495,3.23606797749979
2.94062957876979,-2.07165358995799,3.37731170200806
2.94176597591711,-1.96350734820343,3.50522672017545
2.94275964866503,-1.85155858313015,3.61930820986408
2.94361398118049,-1.73624910536936,3.71910594355301
2.94433190796282,-1.61803398874989,3.80422606518061
2.94491591316582,-1.49737977432971,3.87433264451452
2.94536803003318,-1.37476262917145,3.92914900291475
2.94568984044255,-1.25066646712861,3.96845880525791
2.94588247455467,-1.12558103905863,3.99210691371309
2.94594661056486,-1,4
2.94588247455467,-0.874418960941373,3.99210691371309
2.94568984044255,-0.749333532871391,3.96845880525791
2.94536803003318,-0.62523737082855,3.92914900291475
2.94491591316582,-0.50262022567029,3.87433264451452
2.94433190796282,-0.381966011250105,3.80422606518061
2.94361398118049,-0.263750894630643,3.71910594355301
2.94275964866503,-0.148441416869854,3.61930820986408
2.94176597591711,-0.03649265179657,3.50522672017545
2.94062957876979,0.0716535899579929,3.37731170200806
2.93934662418466,0.175570504584946,3.23606797749979
2.93791283117263,0.274847979497379,3.08205297110316
2.9363234718459,0.369094211857377,2.91587450968565
2.93457337260902,0.457937254842823,2.73818842371475
2.93265691549722,0.541026485551579,2.54969595899476
2.93056803967145,0.618033988749895,2.35114100916989
2.92830024307999,0.68865585100403,2.14330717991599
2.92584658429756,0.752613360087727,1.92701469640686
2.92319968455325,0.809654104932039,1.70311716626029
2.92467531716233,-2.96457450145738,0.7495252583429
2.92788951022041,-2.93716632225726,0.994759548659419
2.93088971710438,-2.90211303259031,1.23606797749979
2.9336850906066,-2.8595529717765,1.47249821073871
2.93628435270238,-2.80965410493204,1.70311716626029
2.93869579183359,-2.75261336008773,1.92701469640686
2.94092726042541,-2.68865585100403,2.14330717991599
2.94298617262143,-2.61803398874989,2.35114100916989
2.94487950222334,-2.54102648555158,2.54969595899476
2.94661378082192,-2.45793725484282,2.73818842371475
2.94819509610711,-2.36909421185738,2.91587450968565
2.94962909034533,-2.27484797949738,3.08205297110316
2.95092095901337,-2.17557050458495,3.23606797749979
2.95207544957881,-2.07165358995799,3.37731170200806
2.95309686041751,-1.96350734820343,3.50522672017545
2.95398903985996,-1.85155858313015,3.61930820986408
2.95475538535858,-1.73624910536936,3.71910594355301
2.95539884276928,-1.61803398874989,3.80422606518061
2.95592190574106,-1.49737977432971,3.87433264451452
2.95632661520846,-1.37476262917145,3.92914900291475
2.95661455898241,-1.25066646712861,3.96845880525791
2.95678687143573,-1.12558103905863,3.99210691371309
2.95684423328059,-1,4
2.95678687143573,-0.874418960941373,3.99210691371309
2.95661455898241,-0.749333532871391,3.96845880525791
2.95632661520846,-0.62523737082855,3.92914900291475
2.95592190574106,-0.50262022567029,3.87433264451452
2.95539884276928,-0.381966011250105,3.80422606518061
2.95475538535858,-0.263750894630643,3.71910594355301
2.95398903985996,-0.148441416869854,3.61930820986408
2.95309686041751,-0.03649265179657,3.50522672017545
2.95207544957881,0.0716535899579929,3.37731170200806
2.95092095901337,0.175570504584946,3.23606797749979
2.94962909034533,0.274847979497379,3.08205297110316
2.94819509610711,0.369094211857377,2.91587450968565
2.94661378082192,0.457937254842823,2.73818842371475
2.94487950222334,0.541026485551579,2.54969595899476
2.94298617262143,0.618033988749895,2.35114100916989
2.94092726042541,0.68865585100403,2.14330717991599
2.93869579183359,0.752613360087727,1.92701469640686
2.93628435270238,0.809654104932039,1.70311716626029
2.9336850906066,0.859552971776503,1.47249821073871
2.93088971710438,0.902113032590307,1.23606797749979
2.92788951022041,0.937166322257262,0.99475954865942
2.92467531716233,0.964574501457377,0.7495252583429
2.92295157630277,-2.99605345685654,-0.251162078117254
2.92679942197867,-3,2.44929359829471e-16
2.93040465360043,-2.99605345685654,0.251162078117254
2.93377817325835,-2.98422940262896,0.501332934257218
2.93693046154059,-2.96457450145738,0.7495252583429
2.93987157394717,-2.93716632225726,0.994759548659419
2.94261113759419,-2.90211303259031,1.23606797749979
2.9451583481906,-2.8595529717765,1.47249821073871
2.94752196727055,-2.80965410493204,1.70311716626029
2.94971031966514,-2.75261336008773,1.92701469640686
2.95173129119794,-2.68865585100403,2.14330717991599
2.95359232658974,-2.61803398874989,2.35114100916989
2.95530042755845,-2.54102648555158,2.54969595899476
2.95686215110087,-2.45793725484282,2.73818842371475
2.958283607944,-2.36909421185738,2.91587450968565
2.95957046115415,-2.27484797949738,3.08205297110316
2.96072792489297,-2.17557050458495,3.23606797749979
2.96176076331034,-2.07165358995799,3.37731170200806
2.96267328956476,-1.96350734820343,3.50522672017545
2.96346936496279,-1.85155858313015,3.61930820986408
2.96415239820979,-1.73624910536936,3.71910594355301
2.96472534476511,-1.61803398874989,3.80422606518061
2.96519070629553,-1.49737977432971,3.87433264451452
2.96555053022182,-1.37476262917145,3.92914900291475
2.96580640935385,-1.25066646712861,3.96845880525791
2.96595948161048,-1.12558103905863,3.99210691371309
2.96601042982167,-1,4
2.96595948161048,-0.874418960941373,3.99210691371309
2.96580640935385,-0.749333532871391,3.96845880525791
2.96555053022182,-0.62523737082855,3.92914900291475
2.96519070629553,-0.50262022567029,3.87433264451452
2.96472534476511,-0.381966011250105,3.80422606518061
2.96415239820979,-0.263750894630643,3.71910594355301
2.96346936496279,-0.148441416869854,3.61930820986408
2.96267328956476,-0.03649265179657,3.50522672017545
2.96176076331034,0.0716535899579929,3.37731170200806
2.96072792489297,0.175570504584946,3.23606797749979
2.95957046115415,0.274847979497379,3.08205297110316
2.958283607944,0.369094211857377,2.91587450968565
2.95686215110087,0.457937254842823,2.73818842371475
2.95530042755845,0.541026485551579,2.54969595899476
2.95359232658974,0.618033988749895,2.35114100916989
2.95173129119794,0.68865585100403,2.14330717991599
2.94971031966514,0.752613360087727,1.92701469640686
2.94752196727055,0.809654104932039,1.70311716626029
2.9451583481906,0.859552971776503,1.47249821073871
2.94261113759419,0.902113032590307,1.23606797749979
2.93987157394717,0.937166322257262,0.99475954865942
2.93693046154059,0.964574501457377,0.7495252583429
2.93377817325835,0.984229402628956,0.501332934257218
2.93040465360043,0.996053456856543,0.251162078117254
2.92679942197867,1,2.44929359829471e-16
2.92295157630277,0.996053456856543,-0.251162078117254
2.92250685955367,-2.93716632225726,-0.994759548659419
2.92681338889572,-2.96457450145738,-0.749525258342899
2.93085350866159,-2.98422940262896,-0.501332934257217
2.93463942479939,-2.99605345685654,-0.251162078117254
2.93818292994851,-3,2.44929359829471e-16
2.94149539910628,-2.99605345685654,0.251162078117254
2.94458778563409,-2.98422940262896,0.501332934257218
2.94747061758288,-2.96457450145738,0.7495252583429
2.95015399431897,-2.93716632225726,0.994759548659419
2.9526475834317,-2.90211303259031,1.23606797749979
2.95496061790514,-2.8595529717765,1.47249821073871
2.95710189353677,-2.80965410493204,1.70311716626029
2.95907976658694,-2.75261336008773,1.92701469640686
2.96090215164331,-2.68865585100403,2.14330717991599
2.96257651968582,-2.61803398874989,2.35114100916989
2.96410989633775,-2.54102648555158,2.54969595899476
2.96550886028992,-2.45793725484282,2.73818842371475
2.96677954188529,-2.36909421185738,2.91587450968565
2.96792762185245,-2.27484797949738,3.08205297110316
2.96895833017687,-2.17557050458495,3.23606797749979
2.96987644509995,-2.07165358995799,3.37731170200806
2.97068629223646,-1.96350734820343,3.50522672017545
2.9713917438018,-1.85155858313015,3.61930820986408
2.97199621794142,-1.73624910536936,3.71910594355301
2.97250267815547,-1.61803398874989,3.80422606518061
2.97291363281247,-1.49737977432971,3.87433264451452
2.97323113474688,-1.37476262917145,3.92914900291475
2.97345678093587,-1.25066646712861,3.96845880525791
2.97359171225179,-1.12558103905863,3.99210691371309
2.9736366132874,-1,4
2.97359171225179,-0.874418960941373,3.99210691371309
2.97345678093587,-0.749333532871391,3.96845880525791
2.97323113474688,-0.62523737082855,3.92914900291475
2.97291363281247,-0.50262022567029,3.87433264451452
2.97250267815547,-0.381966011250105,3.80422606518061
2.97199621794142,-0.263750894630643,3.71910594355301
2.9713917438018,-0.148441416869854,3.61930820986408
2.97068629223646,-0.03649265179657,3.50522672017545
2.96987644509995,0.0716535899579929,3.37731170200806
2.96895833017687,0.175570504584946,3.23606797749979
2.96792762185245,0.274847979497379,3.08205297110316
2.96677954188529,0.369094211857377,2.91587450968565
2.96550886028992,0.457937254842823,2.73818842371475
2.96410989633775,0.541026485551579,2.54969595899476
2.96257651968582,0.618033988749895,2.35114100916989
2.96090215164331,0.68865585100403,2.14330717991599
2.95907976658694,0.752613360087727,1.92701469640686
2.95710189353677,0.809654104932039,1.70311716626029
2.95496061790514,0.859552971776503,1.47249821073871
2.9526475834317,0.902113032590307,1.23606797749979
2.95015399431897,0.937166322257262,0.99475954865942
2.94747061758288,0.964574501457377,0.7495252583429
2.94458778563409,0.984229402628956,0.501332934257218
2.94149539910628,0.996053456856543,0.251162078117254
2.93818292994851,1,2.44929359829471e-16
2.93463942479939,0.996053456856543,-0.251162078117254
2.93085350866159,0.984229402628956,-0.501332934257217
2.92681338889572,0.964574501457377,-0.749525258342899
2.92250685955367,0.937166322257262,-0.994759548659419
2.92471780996241,-2.8595529717765,-1.47249821073871
2.92925563850656,-2.90211303259031,-1.23606797749979
2.93351205132634,-2.93716632225726,-0.994759548659419
2.93750013178371,-2.96457450145738,-0.749525258342899
2.94123255514637,-2.98422940262896,-0.501332934257217
2.94472158375094,-2.99605345685654,-0.251162078117254
2.9479790625397,-3,2.44929359829471e-16
2.95101641494983,-2.99605345685654,0.251162078117254
2.9538446391343,-2.98422940262896,0.501332934257218
2.95647430449454,-2.96457450145738,0.7495252583429
2.95891554850561,-2.93716632225726,0.994759548659419
2.96117807381517,-2.90211303259031,1.23606797749979
2.9632711455986,-2.8595529717765,1.47249821073871
2.96520358915294,-2.80965410493204,1.70311716626029
2.96698378771336,-2.75261336008773,1.92701469640686
2.96861968047658,-2.68865585100403,2.14330717991599
2.97011876081619,-2.61803398874989,2.35114100916989
2.97148807467601,-2.54102648555158,2.54969595899476
2.97273421912797,-2.45793725484282,2.73818842371475
2.97386334108203,-2.36909421185738,2.91587450968565
2.97488113613642,-2.27484797949738,3.08205297110316
2.9757928475572,-2.17557050458495,3.23606797749979
2.97660326537701,-2.07165358995799,3.37731170200806
2.97731672560355,-1.96350734820343,3.50522672017545
2.9779371095294,-1.85155858313015,3.61930820986408
2.9784678431353,-1.73624910536936,3.71910594355301
2.97891189657996,-1.61803398874989,3.80422606518061
2.97927178377033,-1.49737977432971,3.87433264451452
2.979549562007,-1.37476262917145,3.92914900291475
2.97974683170014,-1.25066646712861,3.96845880525791
2.97986473615251,-1.12558103905863,3.99210691371309
2.97990396140636,-1,4
2.97986473615251,-0.874418960941373,3.99210691371309
2.97974683170014,-0.749333532871391,3.96845880525791
2.979549562007,-0.62523737082855,3.92914900291475
2.97927178377033,-0.50262022567029,3.87433264451452
