"beta1","beta2","beta3"
-1.23454307581533,0.457937254842823,1.93714975484282
-1.23454307581533,0.541026485551579,1.99103898555158
-1.23454307581533,0.618033988749895,2.0396464887499
-1.23454307581533,0.68865585100403,2.08266835100403
-1.23454307581533,0.752613360087727,2.11982586008773
-1.23454307581533,0.809654104932039,2.15086660493204
-1.23454307581533,0.859552971776503,2.1755654717765
-1.23454307581533,0.902113032590307,2.19372553259031
-1.23454307581533,0.937166322257262,2.20517882225726
-1.23454307581533,0.964574501457377,2.20978700145738
-1.23454307581533,0.984229402628956,2.20744190262896
-1.23454307581533,0.996053456856543,2.19806595685654
-1.23454307581533,1,2.1816125
-1.23454307581533,0.996053456856543,2.15806595685654
-1.23454307581533,0.984229402628956,2.12744190262896
-1.23454307581533,0.964574501457377,2.08978700145738
-1.23454307581533,0.937166322257262,2.04517882225726
-1.23454307581533,0.902113032590307,1.99372553259031
-1.23454307581533,0.859552971776503,1.9355654717765
-1.23454307581533,0.809654104932039,1.87086660493204
-1.23454307581533,0.752613360087727,1.79982586008773
-1.23454307581533,0.68865585100403,1.72266835100403
-1.23454307581533,0.618033988749895,1.63964648874989
-1.23454307581533,0.541026485551579,1.55103898555158
-1.23454307581533,0.457937254842823,1.45714975484282
-1.60748038493699,-0.148441416869855,1.46235858313015
-1.60748038493699,-0.0364926517965692,1.54030734820343
-1.60748038493699,0.0716535899579935,1.61525358995799
-1.60748038493699,0.175570504584947,1.68677050458495
-1.60748038493699,0.274847979497379,1.75444797949738
-1.60748038493699,0.369094211857377,1.81789421185738
-1.60748038493699,0.457937254842823,1.87673725484282
-1.60748038493699,0.541026485551579,1.93062648555158
-1.60748038493699,0.618033988749895,1.9792339887499
-1.60748038493699,0.68865585100403,2.02225585100403
-1.60748038493699,0.752613360087727,2.05941336008773
-1.60748038493699,0.809654104932039,2.09045410493204
-1.60748038493699,0.859552971776503,2.1151529717765
-1.60748038493699,0.902113032590307,2.13331303259031
-1.60748038493699,0.937166322257262,2.14476632225726
-1.60748038493699,0.964574501457377,2.14937450145738
-1.60748038493699,0.984229402628956,2.14702940262896
-1.60748038493699,0.996053456856543,2.13765345685654
-1.60748038493699,1,2.1212
-1.60748038493699,0.996053456856543,2.09765345685654
-1.60748038493699,0.984229402628956,2.06702940262896
-1.60748038493699,0.964574501457377,2.02937450145738
-1.60748038493699,0.937166322257262,1.98476632225726
-1.60748038493699,0.902113032590307,1.93331303259031
-1.60748038493699,0.859552971776503,1.8751529717765
-1.60748038493699,0.809654104932039,1.81045410493204
-1.60748038493699,0.752613360087727,1.73941336008773
-1.60748038493699,0.68865585100403,1.66225585100403
-1.60748038493699,0.618033988749895,1.57923398874989
-1.60748038493699,0.541026485551579,1.49062648555158
-1.60748038493699,0.457937254842823,1.39673725484282
-1.60748038493699,0.369094211857377,1.29789421185738
-1.60748038493699,0.274847979497379,1.19444797949738
-1.60748038493699,0.175570504584946,1.08677050458495
-1.60748038493699,0.0716535899579933,0.975253589957993
-1.60748038493699,-0.0364926517965696,0.86030734820343
-1.60748038493699,-0.148441416869855,0.742358583130145
-1.94834414499055,-0.62523737082855,1.07117512917145
-1.94834414499055,-0.502620225670291,1.15659227432971
-1.94834414499055,-0.381966011250105,1.2408464887499
-1.94834414499055,-0.263750894630644,1.32346160536936
-1.94834414499055,-0.148441416869855,1.40397108313015
-1.94834414499055,-0.0364926517965692,1.48191984820343
-1.94834414499055,0.0716535899579935,1.55686608995799
-1.94834414499055,0.175570504584947,1.62838300458495
-1.94834414499055,0.274847979497379,1.69606047949738
-1.94834414499055,0.369094211857377,1.75950671185738
-1.94834414499055,0.457937254842823,1.81834975484282
-1.94834414499055,0.541026485551579,1.87223898555158
-1.94834414499055,0.618033988749895,1.92084648874989
-1.94834414499055,0.68865585100403,1.96386835100403
-1.94834414499055,0.752613360087727,2.00102586008773
-1.94834414499055,0.809654104932039,2.03206660493204
-1.94834414499055,0.859552971776503,2.0567654717765
-1.94834414499055,0.902113032590307,2.07492553259031
-1.94834414499055,0.937166322257262,2.08637882225726
-1.94834414499055,0.964574501457377,2.09098700145738
-1.94834414499055,0.984229402628956,2.08864190262896
-1.94834414499055,0.996053456856543,2.07926595685654
-1.94834414499055,1,2.0628125
-1.94834414499055,0.996053456856543,2.03926595685654
-1.94834414499055,0.984229402628956,2.00864190262896
-1.94834414499055,0.964574501457377,1.97098700145738
-1.94834414499055,0.937166322257262,1.92637882225726
-1.94834414499055,0.902113032590307,1.87492553259031
-1.94834414499055,0.859552971776503,1.8167654717765
-1.94834414499055,0.809654104932039,1.75206660493204
-1.94834414499055,0.752613360087727,1.68102586008773
-1.94834414499055,0.68865585100403,1.60386835100403
-1.94834414499055,0.618033988749895,1.52084648874989
-1.94834414499055,0.541026485551579,1.43223898555158
-1.94834414499055,0.457937254842823,1.33834975484282
-1.94834414499055,0.369094211857377,1.23950671185738
-1.94834414499055,0.274847979497379,1.13606047949738
-1.94834414499055,0.175570504584946,1.02838300458495
-1.94834414499055,0.0716535899579933,0.916866089957993
-1.94834414499055,-0.0364926517965696,0.80191984820343
-1.94834414499055,-0.148441416869855,0.683971083130145
-1.94834414499055,-0.263750894630645,0.563461605369355
-1.94834414499055,-0.381966011250106,0.440846488749894
-1.94834414499055,-0.50262022567029,0.31659227432971
-1.94834414499055,-0.62523737082855,0.19117512917145
-2.25033320889138,-1.12558103905863,0.671268960941373
-2.25033320889138,-1,0.75645
-2.25033320889138,-0.874418960941373,0.842431039058627
-2.25033320889138,-0.749333532871391,0.928716467128609
-2.25033320889138,-0.62523737082855,1.01481262917145
-2.25033320889138,-0.502620225670291,1.10022977432971
-2.25033320889138,-0.381966011250105,1.1844839887499
-2.25033320889138,-0.263750894630644,1.26709910536936
-2.25033320889138,-0.148441416869855,1.34760858313015
-2.25033320889138,-0.0364926517965692,1.42555734820343
-2.25033320889138,0.0716535899579935,1.50050358995799
-2.25033320889138,0.175570504584947,1.57202050458495
-2.25033320889138,0.274847979497379,1.63969797949738
-2.25033320889138,0.369094211857377,1.70314421185738
-2.25033320889138,0.457937254842823,1.76198725484282
-2.25033320889138,0.541026485551579,1.81587648555158
-2.25033320889138,0.618033988749895,1.86448398874989
-2.25033320889138,0.68865585100403,1.90750585100403
-2.25033320889138,0.752613360087727,1.94466336008773
-2.25033320889138,0.809654104932039,1.97570410493204
