"alpha1","alpha2","alpha3","beta1","beta2","beta3"
2.92246854535354,-2.36909421185738,2.91587450968565,-1.23454307581533,0.457937254842823,1.93714975484282
2.9242213241623,-2.27484797949738,3.08205297110316,-1.23454307581533,0.541026485551579,1.99103898555158
2.92580440720379,-2.17557050458495,3.23606797749979,-1.23454307581533,0.618033988749895,2.0396464887499
2.92722249956642,-2.07165358995799,3.37731170200806,-1.23454307581533,0.68865585100403,2.08266835100403
2.92847986195653,-1.96350734820343,3.50522672017545,-1.23454307581533,0.752613360087727,2.11982586008773
2.92958030954301,-1.85155858313015,3.61930820986408,-1.23454307581533,0.809654104932039,2.15086660493204
2.93052721094397,-1.73624910536936,3.71910594355301,-1.23454307581533,0.859552971776503,2.1755654717765
2.93132348734868,-1.61803398874989,3.80422606518061,-1.23454307581533,0.902113032590307,2.19372553259031
2.93197161176881,-1.49737977432971,3.87433264451452,-1.23454307581533,0.937166322257262,2.20517882225726
2.93247360841374,-1.37476262917145,3.92914900291475,-1.23454307581533,0.964574501457377,2.20978700145738
2.93283105218546,-1.25066646712861,3.96845880525791,-1.23454307581533,0.984229402628956,2.20744190262896
2.93304506828944,-1.12558103905863,3.99210691371309,-1.23454307581533,0.996053456856543,2.19806595685654
2.93311633195878,-1,4,-1.23454307581533,1,2.1816125
2.93304506828944,-0.874418960941373,3.99210691371309,-1.23454307581533,0.996053456856543,2.15806595685654
2.93283105218546,-0.749333532871391,3.96845880525791,-1.23454307581533,0.984229402628956,2.12744190262896
2.93247360841374,-0.62523737082855,3.92914900291475,-1.23454307581533,0.964574501457377,2.08978700145738
2.93197161176881,-0.50262022567029,3.87433264451452,-1.23454307581533,0.937166322257262,2.04517882225726
2.93132348734868,-0.381966011250105,3.80422606518061,-1.23454307581533,0.902113032590307,1.99372553259031
2.93052721094397,-0.263750894630643,3.71910594355301,-1.23454307581533,0.859552971776503,1.9355654717765
2.92958030954301,-0.148441416869854,3.61930820986408,-1.23454307581533,0.809654104932039,1.87086660493204
2.92847986195653,-0.03649265179657,3.50522672017545,-1.23454307581533,0.752613360087727,1.79982586008773
2.92722249956642,0.0716535899579929,3.37731170200806,-1.23454307581533,0.68865585100403,1.72266835100403
2.92580440720379,0.175570504584946,3.23606797749979,-1.23454307581533,0.618033988749895,1.63964648874989
2.9242213241623,0.274847979497379,3.08205297110316,-1.23454307581533,0.541026485551579,1.55103898555158
2.92246854535354,0.369094211857377,2.91587450968565,-1.23454307581533,0.457937254842823,1.45714975484282
2.92319968455325,-2.80965410493204,1.70311716626029,-1.60748038493699,-0.148441416869855,1.46235858313015
2.92584658429756,-2.75261336008773,1.92701469640686,-1.60748038493699,-0.0364926517965692,1.54030734820343
2.92830024307999,-2.68865585100403,2.14330717991599,-1.60748038493699,0.0716535899579935,1.61525358995799
2.93056803967145,-2.61803398874989,2.35114100916989,-1.60748038493699,0.175570504584947,1.68677050458495
2.93265691549722,-2.54102648555158,2.54969595899476,-1.60748038493699,0.274847979497379,1.75444797949738
2.93457337260902,-2.45793725484282,2.73818842371475,-1.60748038493699,0.369094211857377,1.81789421185738
2.9363234718459,-2.36909421185738,2.91587450968565,-1.60748038493699,0.457937254842823,1.87673725484282
2.93791283117263,-2.27484797949738,3.08205297110316,-1.60748038493699,0.541026485551579,1.93062648555158
2.93934662418466,-2.17557050458495,3.23606797749979,-1.60748038493699,0.618033988749895,1.9792339887499
2.94062957876979,-2.07165358995799,3.37731170200806,-1.60748038493699,0.68865585100403,2.02225585100403
2.94176597591711,-1.96350734820343,3.50522672017545,-1.60748038493699,0.752613360087727,2.05941336008773
2.94275964866503,-1.85155858313015,3.61930820986408,-1.60748038493699,0.809654104932039,2.09045410493204
2.94361398118049,-1.73624910536936,3.71910594355301,-1.60748038493699,0.859552971776503,2.1151529717765
2.94433190796282,-1.61803398874989,3.80422606518061,-1.60748038493699,0.902113032590307,2.13331303259031
2.94491591316582,-1.49737977432971,3.87433264451452,-1.60748038493699,0.937166322257262,2.14476632225726
2.94536803003318,-1.37476262917145,3.92914900291475,-1.60748038493699,0.964574501457377,2.14937450145738
2.94568984044255,-1.25066646712861,3.96845880525791,-1.60748038493699,0.984229402628956,2.14702940262896
2.94588247455467,-1.12558103905863,3.99210691371309,-1.60748038493699,0.996053456856543,2.13765345685654
2.94594661056486,-1,4,-1.60748038493699,1,2.1212
2.94588247455467,-0.874418960941373,3.99210691371309,-1.60748038493699,0.996053456856543,2.09765345685654
2.94568984044255,-0.749333532871391,3.96845880525791,-1.60748038493699,0.984229402628956,2.06702940262896
2.94536803003318,-0.62523737082855,3.92914900291475,-1.60748038493699,0.964574501457377,2.02937450145738
2.94491591316582,-0.50262022567029,3.87433264451452,-1.60748038493699,0.937166322257262,1.98476632225726
2.94433190796282,-0.381966011250105,3.80422606518061,-1.60748038493699,0.902113032590307,1.93331303259031
2.94361398118049,-0.263750894630643,3.71910594355301,-1.60748038493699,0.859552971776503,1.8751529717765
2.94275964866503,-0.148441416869854,3.61930820986408,-1.60748038493699,0.809654104932039,1.81045410493204
2.94176597591711,-0.03649265179657,3.50522672017545,-1.60748038493699,0.752613360087727,1.73941336008773
2.94062957876979,0.0716535899579929,3.37731170200806,-1.60748038493699,0.68865585100403,1.66225585100403
2.93934662418466,0.175570504584946,3.23606797749979,-1.60748038493699,0.618033988749895,1.57923398874989
2.93791283117263,0.274847979497379,3.08205297110316,-1.60748038493699,0.541026485551579,1.49062648555158
2.9363234718459,0.369094211857377,2.91587450968565,-1.60748038493699,0.457937254842823,1.39673725484282
2.93457337260902,0.457937254842823,2.73818842371475,-1.60748038493699,0.369094211857377,1.29789421185738
2.93265691549722,0.541026485551579,2.54969595899476,-1.60748038493699,0.274847979497379,1.19444797949738
2.93056803967145,0.618033988749895,2.35114100916989,-1.60748038493699,0.175570504584946,1.08677050458495
2.92830024307999,0.68865585100403,2.14330717991599,-1.60748038493699,0.0716535899579933,0.975253589957993
2.92584658429756,0.752613360087727,1.92701469640686,-1.60748038493699,-0.0364926517965696,0.86030734820343
2.92319968455325,0.809654104932039,1.70311716626029,-1.60748038493699,-0.148441416869855,0.742358583130145
2.92467531716233,-2.96457450145738,0.7495252583429,-1.94834414499055,-0.62523737082855,1.07117512917145
2.92788951022041,-2.93716632225726,0.994759548659419,-1.94834414499055,-0.502620225670291,1.15659227432971
2.93088971710438,-2.90211303259031,1.23606797749979,-1.94834414499055,-0.381966011250105,1.2408464887499
2.9336850906066,-2.8595529717765,1.47249821073871,-1.94834414499055,-0.263750894630644,1.32346160536936
2.93628435270238,-2.80965410493204,1.70311716626029,-1.94834414499055,-0.148441416869855,1.40397108313015
2.93869579183359,-2.75261336008773,1.92701469640686,-1.94834414499055,-0.0364926517965692,1.48191984820343
2.94092726042541,-2.68865585100403,2.14330717991599,-1.94834414499055,0.0716535899579935,1.55686608995799
2.94298617262143,-2.61803398874989,2.35114100916989,-1.94834414499055,0.175570504584947,1.62838300458495
2.94487950222334,-2.54102648555158,2.54969595899476,-1.94834414499055,0.274847979497379,1.69606047949738
2.94661378082192,-2.45793725484282,2.73818842371475,-1.94834414499055,0.369094211857377,1.75950671185738
